0.00	     0.37126       0.33096
0.05	    -5.58532       0.93979
0.10	    -4.75582       0.66565
0.20	    -1.01429       0.27955
0.30	     1.97734       0.56336
0.40	     4.27343       0.33500
0.50	   -51.44248       0.27266
0.60	   -55.19837       0.39711
0.70	   -54.41071       0.31231
0.80	   -53.15965       0.66464
0.90	   -49.39456       1.02294
0.95	   -45.66702       0.94495
1.00	   -51.30041       0.91184
